policy,knowledge_base,training_average_reward,accuracy,average_reward,retrieval_rate,retrieval_cost,drifted_accuracy,stable_accuracy,approval_baseline_accuracy,approval_baseline_retrieval_cost,recovery_baseline_accuracy,approval_status,recovery_status
old_policy,kb_a,0.6316348195329087,1.0,0.9968152866242038,0.006369426751592357,0.0031847133757961785,,1.0,0.7834394904458599,0.5,1.0,N/A,N/A
old_policy,kb_b,,0.5031847133757962,0.0,0.012738853503184714,0.006369426751592357,0.012658227848101266,1.0,0.7834394904458599,0.5,1.0,N/A,N/A
adapted_policy,kb_b,0.10985138004246285,0.8980891719745223,0.4171974522292994,0.7579617834394905,0.37898089171974525,0.8860759493670886,0.9102564102564102,0.7834394904458599,0.5,1.0,APPROVED,NOT_RECOVERED
full_retrain_policy,kb_b,0.12611464968152866,0.89171974522293,0.39490445859872614,0.7770700636942676,0.3885350318471338,0.8860759493670886,0.8974358974358975,0.7834394904458599,0.5,1.0,APPROVED,NOT_RECOVERED
always_direct,kb_a,,1.0,1.0,0.0,0.0,,1.0,0.7834394904458599,0.5,1.0,N/A,N/A
always_direct,kb_b,,0.4968152866242038,-0.006369426751592357,0.0,0.0,0.0,1.0,0.7834394904458599,0.5,1.0,N/A,N/A
always_retrieve,kb_a,,0.7898089171974523,0.07961783439490445,1.0,0.5,,0.7898089171974523,0.7834394904458599,0.5,1.0,N/A,N/A
always_retrieve,kb_b,,0.7834394904458599,0.06687898089171974,1.0,0.5,0.8860759493670886,0.6794871794871795,0.7834394904458599,0.5,1.0,N/A,N/A
random,kb_a,,0.8853503184713376,0.5318471337579618,0.47770700636942676,0.23885350318471338,,0.8853503184713376,0.7834394904458599,0.5,1.0,N/A,N/A
random,kb_b,,0.6751592356687898,0.07643312101910828,0.5477707006369427,0.27388535031847133,0.4936708860759494,0.8589743589743589,0.7834394904458599,0.5,1.0,N/A,N/A
