policy,knowledge_base,training_average_reward,accuracy,average_reward,retrieval_rate,retrieval_cost,drifted_accuracy,stable_accuracy,approval_baseline_accuracy,approval_baseline_retrieval_cost,recovery_baseline_accuracy,approval_status,recovery_status
old_policy,kb_a,0.594968152866242,1.0,1.0,0.0,0.0,,1.0,0.7834394904458599,0.5,1.0,N/A,N/A
old_policy,kb_b,,0.4968152866242038,-0.006369426751592357,0.0,0.0,0.0,1.0,0.7834394904458599,0.5,1.0,N/A,N/A
adapted_policy,kb_b,0.09736730360934183,0.89171974522293,0.4171974522292994,0.732484076433121,0.3662420382165605,0.8607594936708861,0.9230769230769231,0.7834394904458599,0.5,1.0,APPROVED,NOT_RECOVERED
full_retrain_policy,kb_b,0.09912951167728239,0.910828025477707,0.4872611464968153,0.6687898089171974,0.3343949044585987,0.8734177215189873,0.9487179487179487,0.7834394904458599,0.5,1.0,APPROVED,NOT_RECOVERED
always_direct,kb_a,,1.0,1.0,0.0,0.0,,1.0,0.7834394904458599,0.5,1.0,N/A,N/A
always_direct,kb_b,,0.4968152866242038,-0.006369426751592357,0.0,0.0,0.0,1.0,0.7834394904458599,0.5,1.0,N/A,N/A
always_retrieve,kb_a,,0.7961783439490446,0.09235668789808917,1.0,0.5,,0.7961783439490446,0.7834394904458599,0.5,1.0,N/A,N/A
always_retrieve,kb_b,,0.7834394904458599,0.06687898089171974,1.0,0.5,0.8987341772151899,0.6666666666666666,0.7834394904458599,0.5,1.0,N/A,N/A
random,kb_a,,0.8853503184713376,0.5254777070063694,0.49044585987261147,0.24522292993630573,,0.8853503184713376,0.7834394904458599,0.5,1.0,N/A,N/A
random,kb_b,,0.5987261146496815,-0.03503184713375796,0.46496815286624205,0.23248407643312102,0.3924050632911392,0.8076923076923077,0.7834394904458599,0.5,1.0,N/A,N/A
